modification.type,modification.ID,design.decision,expectation.tested,motivation.for.test,source,statistical.action.or.logging.necessary,requires.statistically.motivated.action,logging.in.known.remaining.dependencies,relative.overlap.fsmall.in.flarge.sufficient,over.19.samples.applicable.for.test,mu.plus.sigma.under.20,cohens.d.over.13,resulting.modification,relevant.features,resulting.added.features,is.added.feature.kept,resulting.removed.features,feature.1.for.test,feature.2.for.test,test,f1.equals.for.test,f1.unequals.for.test,f2.equals.for.test,f2.unequals.for.test,nr.lgs.f1,nr.lgs.f2,absolute.overlap.f1.f2,relative.overlap.fsmall.in.flarge,relative.overlap.flarge.in.fsmall,samples.disregarded.insufficient.lgs.applicable,samples.assessed,mean.d1.across.tested.samples,sd.d1.across.tested.samples,mean.plus.sd.d1.across.tested.samples,mean.d2.across.tested.samples,sd.d2.across.tested.samples,mean.plus.sd.d2.across.tested.samples,mean.baseline.1,mean.baseline.2,d1.baseline1.cohensd,d2.baseline2.cohensd,maximum.sum,minimum.cohensd,minimum.sum,maximum.cohensd
design,D-DIA-2,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: augmentative marking),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB315, GB188",GB702drm,yes,"GB315c, GB188",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-DIA-3,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: diminutive/augmentative marking via gender/noun class) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB551m, GB314, GB315",GB703drmc,yes,"GB314c, GB315c",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-DIA-4,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: diminutive/augmentative marking via other means than gender/noun class),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB187, GB188",GB704drm,yes,"GB187, GB188",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-NEU-1,"mixed/non-cohesive state -- this feature tracks several unrelated phenomena, such that neither 0 nor 1 represent cohesive states",,,,,,,,,,,full removal,NA,NA,NA,GB400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-NUM-02,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: singular marking of NPs) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB945m, GB316, GB042",GB951drmc,yes,"GB316, GB042",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-NUM-03,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: dual marking of NPs) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB945m, GB317, GB043",GB952drmc,yes,"GB317, GB043",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-NUM-04,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: trial marking of NPs) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB945m, GB319, GB165",GB953drmc,yes,"GB319, GB165",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-NUM-05,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: paucal marking of NPs) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB945m, GB320, GB166",GB954drmc,yes,"GB320, GB166",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-NUM-06,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: plural marking of NPs) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB945m, GB318, GB044",GB955drmc,yes,"GB318, GB044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-NUM-07,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: phonologically free number marking) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB945m, GB316, GB317, GB318, GB319, GB320",GB990drmc,yes,"GB316, GB317, GB318, GB319, GB320",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-NUM-08,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: morphological number marking) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB945m, GB042, GB043, GB044, GB165, GB166",GB991drmc,yes,"GB042, GB043, GB044, GB165, GB166",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-RED-1,"mixed/non-cohesive state -- this feature tracks a non-cohesive state (not verb or noun; could be numeral, adjective, demonstrative, etc)",,,,,,,,,,,full removal,NA,NA,NA,GB160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-REF-1,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: reflexive marking),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB114, GB305",GB850drm,yes,"GB114, GB305",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-REF-2,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: reciprocal marking),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB115, GB306",GB851drm,yes,"GB115, GB306",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-REF-3,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: phonologically bound marking of reflexives/reciprocals),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB114, GB115",GB852drm,yes,"GB114, GB115",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-REF-4,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: phonologically free marking of reflexives/reciprocals),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB305, GB306",GB853drm,yes,"GB305, GB306",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-SAP-3,"mixed/non-cohesive state -- this feature does not track affixing type generally (exclusion of S/A/P), nor does it allow to track inflection or derivation generally",,,,,,,,,,,full removal,NA,NA,NA,GB079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-SAP-4,"mixed/non-cohesive state -- this feature does not track affixing type generally (exclusion of S/A/P), nor does it allow to track inflection or derivation generally",,,,,,,,,,,full removal,NA,NA,NA,GB080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-SAP-5,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: preverbal morphological SAP-indexing) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB625m, GB090, GB092, GB094",GB623drmc,yes,"GB090, GB092, GB094",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-SAP-6,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: postverbal morphological SAP-indexing) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB625m, GB089, GB091, GB093",GB624drmc,yes,"GB089, GB091, GB093",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-SAP-7,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: S-indexing) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB625m, GB089, GB090",GB620drmc,yes,"GB089, GB090",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-SAP-8,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: A-indexing) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB625m, GB091, GB092",GB621drmc,yes,"GB091, GB092",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-SAP-9,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: P-indexing) – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB625m, GB093, GB094",GB622drmc,yes,"GB093, GB094",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-TAM-01,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: tense marking),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB082, GB083, GB084, GB121, GB309, GB521",GB557drm,yes,"GB121, GB521",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-TAM-02,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: mood marking),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB119, GB312, GB519",GB558drm,yes,"GB119, GB312, GB519",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-TAM-03,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: aspect marking),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB086, GB120, GB520",GB559drm,yes,"GB086, GB120, GB520",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-TAM-12,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: morphological TAM-marking),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB086, GB312, GB082, GB083, GB084",GB777drm,yes,"GB580mcc, GB086, GB312",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-TAM-13,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: TAM marking by an inflecting word),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB119, GB120, GB121",GB500drm,yes,"GB119, GB120, GB121",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-TAM-14,create meta-feature to disentangle originally combinatoric features into their dimensionality-recomposing features (here: TAM marking by a non-inflecting word),,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition)","GB519, GB520, GB521",GB501drm,yes,"GB519, GB520, GB521",,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-WOO-1,"recode to exclude the mixed/intermediate state ""3"" -- note that for all word order features involving two elements, feature states denoting no dominant order are excluded rather than binarized so as not to massively boost the weight of word order in the full dataset. Most languages do have a dominant word oder.",,,,,,,,,,,remove mixed/intermediate state,GB024,GB024e,yes,GB024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-WOO-2,"recode to exclude the mixed/intermediate state ""3"" -- note that for all word order features involving two elements, feature states denoting no dominant order are excluded rather than binarized so as not to massively boost the weight of word order in the full dataset. Most languages do have a dominant word oder.",,,,,,,,,,,remove mixed/intermediate state,GB025,GB025e,yes,GB025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-WOO-3,"recode to exclude the mixed/intermediate state ""3"" -- note that for all word order features involving two elements, feature states denoting no dominant order are excluded rather than binarized so as not to massively boost the weight of word order in the full dataset. Most languages do have a dominant word oder.",,,,,,,,,,,remove mixed/intermediate state,GB065,GB065e,yes,GB065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-WOO-4,"recode to exclude the mixed/intermediate state ""3"" -- note that for all word order features involving two elements, feature states denoting no dominant order are excluded rather than binarized so as not to massively boost the weight of word order in the full dataset. Most languages do have a dominant word oder.",,,,,,,,,,,remove mixed/intermediate state,GB193,GB193e,yes,GB193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-WOO-5,"recode to exclude the mixed/intermediate state ""3"" -- note that for all word order features involving two elements, feature states denoting no dominant order are excluded rather than binarized so as not to massively boost the weight of word order in the full dataset. Most languages do have a dominant word oder.",,,,,,,,,,,remove mixed/intermediate state,GB203,GB203e,yes,GB203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,D-WOO-6,"recode to exclude the mixed/intermediate state ""3"" -- note that for all word order features involving two elements, feature states denoting no dominant order are excluded rather than binarized so as not to massively boost the weight of word order in the full dataset. Most languages do have a dominant word oder.",,,,,,,,,,,remove mixed/intermediate state,GB130,GB130e,yes,GB130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ADP-1,create meta-feature to keep track of an obvious overarching phenomenon (adpositions) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB074, GB075",GB563m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ADP-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB563m, GB074",GB074c,yes,GB074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ADP-3,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB563m, GB075",GB075c,yes,GB075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-AGR-GEN-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB560drmc, GB198",GB198c,yes,GB198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ANT-1,create meta-feature to keep track of an obvious overarching phenomenon (antipassive) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB148, GB303",GB556m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ANT-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB556m, GB148",GB148c,yes,GB148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ANT-3,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB556m, GB303",GB303c,yes,GB303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ART-1,create meta-feature to keep track of an obvious overarching phenomenon (articles) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB020, GB021, GB022, GB023, GB172, GB186",GB550m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ART-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB550m, GB020",GB020c,yes,GB020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ART-3,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB550m, GB021",GB021c,yes,GB021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ART-4,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB550m, GB022",GB022c,yes,GB022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-ART-5,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB550m, GB023",GB023c,yes,GB023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CAS-1,create meta-feature to keep track of an obvious overarching phenomenon (morphological case) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB070, GB071, GB072, GB073",GB480m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CLA-1,create meta-feature to keep track of an obvious overarching phenomenon (classifiers) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB038, GB057",GB552m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CLA-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB552m, GB038",GB038c,yes,GB038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CLA-3,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB552m, GB057",GB057c,yes,GB057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CPA-1,create meta-feature to keep track of an obvious overarching phenomenon (comparative degree markers) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB275, GB276",GB800m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CPA-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB800m, GB275",GB275c,yes,GB275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CPA-3,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB800m, GB276",GB276c,yes,GB276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CPE-1,create meta-feature to keep track of an obvious overarching phenomenon (complementizers in complements of verbs of thinking and/or knowing) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB421, GB422",GB510m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CPE-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB510m, GB421",GB421c,yes,GB421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-CPE-3,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB510m, GB422",GB422c,yes,GB422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-01,create meta-feature to keep track of an obvious overarching phenomenon (gender/noun class systems) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB051, GB052, GB053, GB054, GB170, GB171, GB172, GB192, GB198, GB314, GB315, GB321",GB551m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-02,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB551m, GB051",GB051c,yes,GB051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-03,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB551m, GB052",GB052c,yes,GB052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-04,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB551m, GB053",GB053c,yes,GB053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-05,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB551m, GB054",GB054c,yes,GB054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-06,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB551m, GB314",GB314c,yes,GB314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-07,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB551m, GB315",GB315c,yes,GB315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-08,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB551m, GB321",GB321c,yes,GB321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-GEN-09,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB551m, GB192",GB192c,yes,GB192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-NUM-01,create meta-feature to keep track of an obvious overarching phenomenon (number marking of NPs) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB039, GB041, GB042, GB043, GB044, GB165, GB166, GB316, GB317, GB318, GB319, GB320, GB184, GB185, GB186",GB945m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-NUM-09,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB945m, GB039",GB039c,yes,GB039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-NUM-10,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB945m, GB041",GB041c,yes,GB041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-PAS-1,create meta-feature to keep track of an obvious overarching phenomenon (passive) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB147, GB302, GB304",GB555m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-PAS-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB555m, GB147",GB147c,yes,GB147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-PAS-3,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB555m, GB302",GB302c,yes,GB302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-PAS-4,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB555m, GB304",GB304c,yes,GB304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-1,create meta-feature to keep track of an obvious overarching phenomenon (polar interrogation via verbal morphology) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB285, GB286, GB291",GB949m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-2,create meta-feature to keep track of an obvious overarching phenomenon (polar interrogation via segmental verbal morphology) to reduce downstream boosting of the absence of the phenomenon – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature (dimensionality-recomposition);simple conditioning (conservative)","GB949m, GB285, GB286",GB947mc,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-3,create meta-feature to keep track of an obvious overarching phenomenon (polar interrogation via polar interrogative particle) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB262, GB263, GB264, GB285",GB950m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-4,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB947mc, GB286",GB286c,yes,GB286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-5,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB949m, GB291",GB291c,yes,GB291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-6,logical conditioning downstream of meta-feature creation,,,,,,,,,,,multiple conditioning (conservative),"GB947mc, GB950m, GB285",GB285cc,yes,GB285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-7,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB950m, GB262",GB262c,yes,GB262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-8,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB950m, GB263",GB263c,yes,GB263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POL-9,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB950m, GB264",GB264c,yes,GB264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-01,create meta-feature to keep track of an obvious overarching phenomenon (expression of predicative possession with an S-like possessum and an oblique-coded possessor) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB252, GB253, GB254",GB251m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-02,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB251m, GB252",GB252c,yes,GB252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
