original.names,new.name,description,original.features,design.logical,design.logical.statistical,modification.IDs,associated.modification.IDs.without.resulting.action,known.remaining.dependencies.after.statistical.treatment,networks.of.dependencies,recode.operation.type,condition.human.readable,condition.if.feature.conditioned,recode.operation.Rcode,original.states,new.states,recode.pattern,grouping
GB038,GB038,Are there demonstrative classifiers?,TRUE,FALSE,FALSE,L-CLA-2,L-CLA-1,,,include without modification,none,,,,,,NA
GB038,GB038c,"Are there demonstrative classifiers, if there are classifiers at all?",FALSE,TRUE,TRUE,L-CLA-2,S-CLA-1,,,recode group 5 (simple conditioning),if classifiers present,GB552m == 1,,,,,Grammatical_categories
GB039,GB039,Is there nonphonological allomorphy of noun number markers?,TRUE,FALSE,FALSE,L-NUM-09,L-NUM-01,,,include without modification,none,,,,,,NA
GB039,GB039c,"Is there nonphonological allomorphy of noun number markers, if there is number marking within NPs at all?",FALSE,TRUE,TRUE,L-NUM-09,S-NUM-GEN-1-O;S-NUM-GEN-1-C,S-NUM-GEN-1-C,,recode group 5 (simple conditioning),if number marking of NPs present,GB945m == 1,,,,,Grammar_other
GB041,GB041,Are there several nouns (more than three) which are suppletive for number?,TRUE,FALSE,FALSE,L-NUM-10,L-NUM-01,,,include without modification,none,,,,,,NA
GB041,GB041c,"Are there several nouns (more than three) which are suppletive for number, if there is number marking within NPs at all?",FALSE,TRUE,TRUE,L-NUM-10,,,,recode group 5 (simple conditioning),if number marking of NPs present,GB945m == 1,,,,,Grammar_other
GB042,GB042,Is there productive overt morphological singular marking on nouns?,TRUE,FALSE,FALSE,D-NUM-02;D-NUM-08,L-NUM-01,,,include without modification,none,,,,,,NA
GB043,GB043,Is there productive morphological dual marking on nouns?,TRUE,FALSE,FALSE,D-NUM-03;D-NUM-08,L-NUM-01,,,include without modification,none,,,,,,NA
GB044,GB044,Is there productive morphological plural marking on nouns?,TRUE,FALSE,FALSE,D-NUM-06;D-NUM-08,L-NUM-01,,,include without modification,none,,,,,,NA
GB046,GB046,Is there an associative plural marker for nouns?,TRUE,TRUE,FALSE,S-NUM-10,,,,include without modification,none,,,,,,Grammatical_categories
GB046,GB046C,"Is there an associative plural marker for nouns, if there is number marking within NPs at all?",FALSE,FALSE,TRUE,S-NUM-10,,,,recode group 5 (simple conditioning),if number marking of NPs present,GB945m == 1,,,,,Grammatical_categories
GB047,GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,TRUE,TRUE,TRUE,,S-VBL-3;S-VBL-2-O;S-VBL-2-C,S-VBL-3;S-VBL-2-C,,include without modification,none,,,,,,Grammar_other
GB048,GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,TRUE,TRUE,TRUE,,S-VBL-3;S-VBL-1,S-VBL-3,,include without modification,none,,,,,,Grammar_other
GB049,GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,TRUE,TRUE,FALSE,S-VBL-1,S-VBL-2-O,,,include without modification,none,,,,,,Grammar_other
GB049,GB049C,"Is there a productive morphological pattern for deriving an object noun from a verb, if there is a productive morphological pattern for deriving an agent noun from a verb?",FALSE,FALSE,TRUE,S-VBL-1,S-VBL-2-C,S-VBL-2-C,,recode group 5 (simple conditioning),if there is a productive morphological pattern for deriving an agent noun from a verb,GB048 == 1,,,,,Grammar_other
GB051,GB051,Is there a gender/noun class system where sex is a factor in class assignment?,TRUE,FALSE,FALSE,L-GEN-02,L-GEN-01,,,include without modification,none,,,,,,NA
GB051,GB051c,"Is there a gender/noun class system where sex is a factor in class assignment, if there is a gender/noun class system at all?",FALSE,TRUE,TRUE,L-GEN-02,,,nominal classification factors,recode group 5 (simple conditioning),if gender/noun class system present,GB551m == 1,,,,,Lexical_classes
GB052,GB052,Is there a gender/noun class system where shape is a factor in class assignment?,TRUE,FALSE,FALSE,L-GEN-03,L-GEN-01,,,include without modification,none,,,,,,NA
GB052,GB052c,"Is there a gender/noun class system where shape is a factor in class assignment, if there is a gender/noun class system at all?",FALSE,TRUE,TRUE,L-GEN-03,,,nominal classification factors,recode group 5 (simple conditioning),if gender/noun class system present,GB551m == 1,,,,,Lexical_classes
GB053,GB053,Is there a gender/noun class system where animacy is a factor in class assignment?,TRUE,FALSE,FALSE,L-GEN-04,L-GEN-01,,,include without modification,none,,,,,,NA
GB053,GB053c,"Is there a gender/noun class system where animacy is a factor in class assignment, if there is a gender/noun class system at all?",FALSE,TRUE,TRUE,L-GEN-04,,,nominal classification factors,recode group 5 (simple conditioning),if gender/noun class system present,GB551m == 1,,,,,Lexical_classes
GB054,GB054,Is there a gender/noun class system where plant status is a factor in class assignment?,TRUE,FALSE,FALSE,L-GEN-05,L-GEN-01,,,include without modification,none,,,,,,NA
GB054,GB054c,"Is there a gender/noun class system where plant status is a factor in class assignment, if there is a gender/noun class system at all?",FALSE,TRUE,TRUE,L-GEN-05,,,nominal classification factors,recode group 5 (simple conditioning),if gender/noun class system present,GB551m == 1,,,,,Lexical_classes
GB057,GB057,Are there numeral classifiers?,TRUE,FALSE,FALSE,L-CLA-3,L-CLA-1,,,include without modification,none,,,,,,NA
GB057,GB057c,"Are there numeral classifiers, if there are classifiers at all?",FALSE,TRUE,TRUE,L-CLA-3,S-CLA-1,,,recode group 5 (simple conditioning),if classifiers present,GB552m == 1,,,,,Grammatical_categories
GB058,GB058,Are there possessive classifiers?,TRUE,TRUE,FALSE,S-POS-7,S-POS-6-O,,,include without modification,none,,,,,,Grammatical_categories
GB058,GB058C,"Are there possessive classifiers, if the adnominal possessive construction is different for alienable and inalienable nouns?",FALSE,FALSE,TRUE,S-POS-7,S-POS-6-C,,possession,recode group 5 (simple conditioning),if alienable/inalienable distinction present,GB059 == 1,,,,,Grammatical_categories
GB059,GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,TRUE,TRUE,TRUE,,S-POS-3-O;S-POS-7;S-POS-3-C;S-POS-8-O;S-POS-8-C,S-POS-8-C,possession,include without modification,none,,,,,,Lexical_classes
GB065,GB065,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,TRUE,FALSE,FALSE,D-WOO-3,,,,include without modification,none,,,,,,NA
GB065,GB065e,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun (excluding the intermediate/mixed state)?,FALSE,TRUE,TRUE,D-WOO-3,,,word order,recode group 1 (simple recode),none,,,1 1;2 2;3 3;4 ?,1;2;NA;?,1-2-3-4,Grammar_linear_order
GB068,GB068,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",TRUE,TRUE,TRUE,,S-ATT-1,S-ATT-1,,include without modification,none,,,,,,Lexical_classes
GB069,GB069,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",TRUE,TRUE,TRUE,,S-ATT-1,S-ATT-1,,include without modification,none,,,,,,Lexical_classes
GB070,GB070,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,TRUE,FALSE,FALSE,D-CAS-3;D-CAS-5,L-CAS-1,,,include without modification,none,,,,,,NA
GB071,GB071,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,TRUE,FALSE,FALSE,D-CAS-2;D-CAS-5,L-CAS-1,,,include without modification,none,,,,,,NA
GB072,GB072,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,TRUE,FALSE,FALSE,D-CAS-3;D-CAS-4,L-CAS-1,,,include without modification,none,,,,,,NA
GB073,GB073,Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?,TRUE,FALSE,FALSE,D-CAS-2;D-CAS-4,L-CAS-1,,,include without modification,none,,,,,,NA
GB074,GB074,Are there prepositions?,TRUE,FALSE,FALSE,L-ADP-2,L-ADP-1,,,include without modification,none,,,,,,NA
GB074,GB074c,"Are there prepositions, if there are adpositions at all?",FALSE,TRUE,TRUE,L-ADP-2,S-ADP-1;S-WOO-09;S-WOO-12,S-WOO-09;S-ADP-1;S-WOO-12,word order,recode group 5 (simple conditioning),if adpositions present,GB563m == 1,,,,,Grammar_linear_order
GB075,GB075,Are there postpositions?,TRUE,FALSE,FALSE,L-ADP-3,L-ADP-1,,,include without modification,none,,,,,,NA
GB075,GB075c,"Are there postpositions, if there are adpositions at all?",FALSE,TRUE,TRUE,L-ADP-3,S-ADP-1;S-WOO-07;S-WOO-10;S-WOO-13,S-ADP-1,word order,recode group 5 (simple conditioning),if adpositions present,GB563m == 1,,,,,Grammar_linear_order
GB079,GB079,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",TRUE,FALSE,FALSE,D-SAP-3,,,,include without modification,none,,,,,,NA
GB080,GB080,"Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",TRUE,FALSE,FALSE,D-SAP-4,,,,include without modification,none,,,,,,NA
GB081,GB081,Is there productive infixation in verbs?,TRUE,TRUE,TRUE,,S-SAP-04,,isolating/affixing,include without modification,none,,,,,,Grammar_linear_order
GB082,GB082,Is there overt morphological marking of present tense on verbs?,TRUE,FALSE,FALSE,L-TAM-09,D-TAM-01;L-TAM-07;D-TAM-12;L-VER-1;L-TAM-08,,,include without modification,none,,,,,,NA
GB082,GB082c,"Is there overt morphological marking of present tense on verbs, if there is morphological tense marking on the verb at all?",FALSE,TRUE,FALSE,L-TAM-09;S-TAM-2,,,,recode group 7 (simple conditioning [conditioned feature]),if overt morphological tense marking present,GB580mcc == 1,,,,,Grammatical_categories
GB082,GB082cC,"Is there overt morphological marking of present tense on verbs, if there is morphological tense marking on the verb at all and if there is overt morphological marking on the verb dedicated to past tense?",FALSE,FALSE,TRUE,S-TAM-2,,,,recode group 8 (multiple conditioning [conditioned feature]),if overt morphological tense marking present and if overt morphological past tense marking present,GB580mcc == 1 & GB083c == 1,,,,,Grammatical_categories
GB083,GB083,Is there overt morphological marking on the verb dedicated to past tense?,TRUE,FALSE,FALSE,L-TAM-10,D-TAM-01;L-TAM-07;D-TAM-12;L-VER-1;L-TAM-08,,,include without modification,none,,,,,,NA
GB083,GB083c,"Is there overt morphological marking on the verb dedicated to past tense, if there is morphological tense marking on the verb at all?",FALSE,TRUE,TRUE,L-TAM-10,S-TAM-2;S-TAM-3,S-TAM-3,,recode group 7 (simple conditioning [conditioned feature]),if overt morphological tense marking present,GB580mcc == 1,,,,,Grammatical_categories
GB084,GB084,Is there overt morphological marking on the verb dedicated to future tense?,TRUE,FALSE,FALSE,L-TAM-11,D-TAM-01;L-TAM-07;D-TAM-12;L-VER-1;L-TAM-08,,,include without modification,none,,,,,,NA
GB084,GB084c,"Is there overt morphological marking on the verb dedicated to future tense, if there is morphological tense marking on the verb at all?",FALSE,TRUE,TRUE,L-TAM-11,S-TAM-3,S-TAM-3,,recode group 7 (simple conditioning [conditioned feature]),if overt morphological tense marking present,GB580mcc == 1,,,,,Grammatical_categories
GB086,GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,TRUE,FALSE,FALSE,D-TAM-03;D-TAM-12,L-TAM-07;L-VER-1,,,include without modification,none,,,,,,NA
GB089,GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,TRUE,FALSE,FALSE,D-SAP-6;D-SAP-7,L-SAP-1;L-VER-1,,,include without modification,none,,,,,,NA
GB090,GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,TRUE,FALSE,FALSE,D-SAP-5;D-SAP-7,L-SAP-1;L-VER-1,,,include without modification,none,,,,,,NA
GB091,GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,TRUE,FALSE,FALSE,D-SAP-6;D-SAP-8,L-SAP-1;L-VER-1,,,include without modification,none,,,,,,NA
GB092,GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,TRUE,FALSE,FALSE,D-SAP-5;D-SAP-8,L-SAP-1;L-VER-1,,,include without modification,none,,,,,,NA
GB093,GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,TRUE,FALSE,FALSE,D-SAP-6;D-SAP-9,L-SAP-1;L-VER-1,,,include without modification,none,,,,,,NA
GB094,GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,TRUE,FALSE,FALSE,D-SAP-5;D-SAP-9,L-SAP-1;L-VER-1,,,include without modification,none,,,,,,NA
GB095,GB095,Are variations in marking strategies of core participants based on TAM distinctions?,TRUE,TRUE,FALSE,S-SAP-11,S-SAP-01a-O;S-SAP-01b-O,,,include without modification,none,,,,,,Grammar_other
GB095,GB095C,"Are variations in marking strategies of core participants based on TAM distinctions, if there is morphological TAM-marking at all?",FALSE,FALSE,TRUE,S-SAP-11,S-SAP-01b-C;S-SAP-01a-C,S-SAP-01a-C;S-SAP-01b-C,alignment,recode group 5 (simple conditioning),if morphological TAM-marking present,GB777drm == 1,,,,,Grammar_other
GB096,GB096,Are variations in marking strategies of core participants based on verb classes?,TRUE,TRUE,FALSE,S-SAP-12-C,S-SAP-01a-O;S-SAP-01c-O;S-SAP-12-O,,,include without modification,none,,,,,,Grammar_other
GB096,GB096C,"Are variations in marking strategies of core participants based on verb classes, if there is affixal/clitic SAP-indexing at all (conditioned on morphologcial TAM)?",FALSE,FALSE,TRUE,S-SAP-12-C,S-SAP-01c-C;S-SAP-01a-C,S-SAP-01a-C;S-SAP-01c-C,alignment,recode group 5 (simple conditioning),if any SAP arguments indexed on the verb in the simple main clause at all (conditioned on TAM),GB625mC == 1,,,,,Grammar_other
GB098,GB098,Are variations in marking strategies of core participants based on person distinctions?,TRUE,TRUE,FALSE,S-SAP-13-C,S-SAP-01b-O;S-SAP-01c-O;S-SAP-13-O,,,include without modification,none,,,,,,Grammar_other
GB098,GB098C,"Are variations in marking strategies of core participants based on person distinctions, if there is affixal/clitic SAP-indexing at all (conditioned on morphologcial TAM)?",FALSE,FALSE,TRUE,S-SAP-13-C,S-SAP-01b-C;S-SAP-01c-C,S-SAP-01b-C;S-SAP-01c-C,alignment,recode group 5 (simple conditioning),if any SAP arguments indexed on the verb in the simple main clause at all (conditioned on TAM),GB625mC == 1,,,,,Grammar_other
GB099,GB099,Can verb stems alter according to the person of a core participant?,TRUE,TRUE,TRUE,,S-SAP-06-O;S-SAP-06-C,,,include without modification,none,,,,,,Grammar_other
GB103,GB103,Is there a benefactive applicative marker on the verb (including indexing)?,TRUE,TRUE,TRUE,,S-APP-1;S-APP-2;S-APP-4;S-APP-7a-O;S-APP-7a-C;S-APP-7b-O;S-APP-7b-C,S-APP-1;S-APP-4;S-APP-2;S-APP-7b-C,isolating/affixing,include without modification,none,,,,,,Grammatical_categories
GB104,GB104,Is there an instrumental applicative marker on the verb (including indexing)?,TRUE,TRUE,TRUE,,S-APP-1;S-APP-5;S-APP-8-O;S-APP-8-C,S-APP-1,isolating/affixing,include without modification,none,,,,,,Grammatical_categories
GB105,GB105,Can the recipient in a ditransitive construction be marked like the monotransitive patient?,TRUE,TRUE,TRUE,,,,alignment,include without modification,none,,,,,,Grammar_other
GB107,GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",TRUE,TRUE,FALSE,S-NEG-TAM-2,,,,include without modification,none,,,,,,Grammar_other
GB107,GB107C,"Can standard negation be marked by an affix, clitic or modification of the verb, if there is morphological TAM-marking at all?",FALSE,FALSE,TRUE,S-NEG-TAM-2,S-NEG-1b;S-NEG-1a,S-NEG-1a,negation,recode group 5 (simple conditioning),if morphological TAM-marking present,GB777drm == 1,,,,,Grammar_other
GB108,GB108,Is there directional or locative morphological marking on verbs?,TRUE,TRUE,TRUE,,S-APP-2;S-APP-3;S-APP-6-O;S-APP-6-C,S-APP-3;S-APP-2,isolating/affixing,include without modification,none,,,,,,Grammatical_categories
GB109,GB109,Is there verb suppletion for participant number?,TRUE,TRUE,FALSE,S-SAP-07-C,S-SAP-07-O,,,include without modification,none,,,,,,Grammar_other
GB109,GB109C,"Is there verb suppletion for participant number, if there is affixal/clitic SAP-indexing at all (conditioned on morphologcial TAM)?",FALSE,FALSE,TRUE,S-SAP-07-C,,,,recode group 5 (simple conditioning),if any SAP arguments indexed on the verb in the simple main clause at all (conditioned on TAM),GB625mC == 1,,,,,Grammar_other
GB110,GB110,Is there verb suppletion for tense or aspect?,TRUE,FALSE,FALSE,L-TAM-16,L-TAM-07,,,include without modification,none,,,,,,NA
GB110,GB110c,"Is there verb suppletion for tense or aspect, if there is tense and/or aspect at all?",FALSE,TRUE,FALSE,S-SAP-17;L-TAM-16,,,,recode group 5 (simple conditioning),if tense and/or aspect marking present,GB589m == 1,,,,,Grammar_other
GB110,GB110cC,"Is there verb suppletion for tense or aspect, if there is tense and/or aspect at all and if there is morphological TAM-marking?",FALSE,FALSE,TRUE,S-SAP-17,S-SUP-1-C;S-SUP-2-C;S-SUP-3-C,S-SUP-1-C;S-SUP-3-C,,recode group 6 (multiple conditioning),if tense and/or aspect marking present and if any TAM can be morphologically marked on the verb,GB589m == 1 & GB777drm == 1,,,,,Grammar_other
GB111,GB111,Are there conjugation classes?,TRUE,TRUE,FALSE,S-SAP-08,,,,include without modification,none,,,,,,Lexical_classes
GB111,GB111C,"Are there conjugation classes, if there is morphological SAP and/or TAM-marking at all?",FALSE,FALSE,TRUE,S-SAP-08,,,,recode group 5 (simple conditioning),if morphological SAP and/or TAM-marking present,GB770m == 1,,,,,Lexical_classes
GB113,GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,TRUE,TRUE,TRUE,,S-CST-1;S-APP-5;S-APP-4;S-APP-3,S-APP-4;S-APP-3,isolating/affixing,include without modification,none,,,,,,Grammar_other
GB114,GB114,Is there a phonologically bound reflexive marker on the verb?,TRUE,FALSE,FALSE,D-REF-1;D-REF-3,,,,include without modification,none,,,,,,NA
GB115,GB115,Is there a phonologically bound reciprocal marker on the verb?,TRUE,FALSE,FALSE,D-REF-2;D-REF-3,,,,include without modification,none,,,,,,NA
GB116,GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",TRUE,TRUE,TRUE,,,,isolating/affixing,include without modification,none,,,,,,Grammatical_categories
GB117,GB117,Is there a copula for predicate nominals?,TRUE,TRUE,TRUE,,S-NEG-3;S-COP-01,S-COP-01,,include without modification,none,,,,,,Grammar_other
GB118,GB118,Are there serial verb constructions?,TRUE,TRUE,TRUE,,S-CLU-1;S-CPD-1,S-CLU-1,,include without modification,none,,,,,,Grammar_other
GB119,GB119,"Can mood be marked by an inflecting word (""auxiliary verb"")?",TRUE,FALSE,FALSE,D-TAM-02;D-TAM-13,,,,include without modification,none,,,,,,NA
GB120,GB120,"Can aspect be marked by an inflecting word (""auxiliary verb"")?",TRUE,FALSE,FALSE,D-TAM-03;D-TAM-13,L-TAM-07,,,include without modification,none,,,,,,NA
GB121,GB121,"Can tense be marked by an inflecting word (""auxiliary verb"")?",TRUE,FALSE,FALSE,D-TAM-01;D-TAM-13,L-TAM-07,,,include without modification,none,,,,,,NA
GB122,GB122,Is verb compounding a regular process?,TRUE,TRUE,TRUE,,S-CPD-1;S-CPD-3,,,include without modification,none,,,,,,Grammar_other
GB123,GB123,Are there verb-adjunct (aka light-verb) constructions?,TRUE,TRUE,TRUE,,S-VBL-4,S-VBL-4,,include without modification,none,,,,,,Grammar_other
GB124,GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,TRUE,TRUE,TRUE,,S-CPD-4,,isolating/affixing,include without modification,none,,,,,,Grammar_other
GB126,GB126,Is there an existential verb?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammatical_categories
GB127,GB127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Lexical_classes
GB129,GB129,"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?",TRUE,TRUE,TRUE,,S-VBL-4,S-VBL-4,,include without modification,none,,,,,,Lexical_classes
GB130,GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?,TRUE,FALSE,FALSE,D-WOO-6,,,,include without modification,none,,,,,,NA
GB130,GB130e,What is the pragmatically unmarked order of S and V in intransitive clauses (excluding the intermediate/mixed state)?,FALSE,TRUE,TRUE,D-WOO-6,S-WOO-06c-O;S-WOO-06b;S-WOO-06c-C;S-WOO-06a,S-WOO-06a;S-WOO-06b;S-WOO-06c-C,word order,recode group 1 (simple recode),none,,,1 1;2 2;3 3;4 ?,1;2;NA;?,1-2-3-4,Grammar_linear_order
GB131,GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,TRUE,TRUE,TRUE,,S-WOO-02a;S-WOO-02b-O;S-WOO-06a;S-WOO-08-O;S-WOO-09;S-WOO-11-O;S-POL-WOO-1;S-POL-WOO-2;S-WOO-14;S-WOO-08-C;S-WOO-02b-C;S-WOO-11-C;S-COP-01,S-WOO-14;S-WOO-09;S-WOO-02a;S-WOO-02b-C;S-COP-01;S-WOO-11-C;S-WOO-06a,word order,include without modification,none,,,,,,Grammar_linear_order
GB132,GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,TRUE,TRUE,TRUE,,S-WOO-02a;S-WOO-02c-O;S-WOO-06b;S-WOO-02c-C,S-WOO-02a;S-WOO-02c-C;S-WOO-06b,word order,include without modification,none,,,,,,Grammar_linear_order
GB133,GB133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,TRUE,TRUE,FALSE,S-WOO-10,S-WOO-02b-O;S-WOO-02c-O;S-WOO-06c-O;S-WOO-11-O;S-WOO-SAP-1-O,,,include without modification,none,,,,,,Grammar_linear_order
GB133,GB133C,"Is a pragmatically unmarked constituent order verb-final for transitive clauses, if postpositions are present?",FALSE,FALSE,TRUE,S-WOO-10,S-WOO-02c-C;S-WOO-02b-C;S-WOO-11-C;S-WOO-SAP-1-C;S-WOO-06c-C,S-WOO-02b-C;S-WOO-11-C;S-WOO-02c-C;S-WOO-06c-C,word order,recode group 7 (simple conditioning [conditioned feature]),if postpositions present,GB075c == 1,,,,,Grammar_linear_order
GB134,GB134,Is the order of constituents the same in main and subordinate clauses?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_linear_order
GB135,GB135,Do clausal objects usually occur in the same position as nominal objects?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_linear_order
GB136,GB136,Is the order of core argument (i.e. S/A/P) constituents fixed?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_linear_order
GB137,GB137,Can standard negation be marked clause-finally?,TRUE,TRUE,TRUE,,S-NEG-2,S-NEG-2,negation;word order,include without modification,none,,,,,,Grammar_linear_order
GB138,GB138,Can standard negation be marked clause-initially?,TRUE,TRUE,TRUE,,S-NEG-2;S-WOO-14,S-WOO-14;S-NEG-2,negation;word order,include without modification,none,,,,,,Grammar_linear_order
GB139,GB139,Is there a difference between imperative (prohibitive) and declarative negation constructions?,TRUE,TRUE,TRUE,,S-NEG-TAM-1,,negation,include without modification,none,,,,,,Grammar_other
GB140,GB140,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?",TRUE,TRUE,TRUE,,S-NEG-3,,negation,include without modification,none,,,,,,Grammar_other
GB146,GB146,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,TRUE,TRUE,TRUE,,S-SAP-15,,,include without modification,none,,,,,,Lexical_classes
GB147,GB147,Is there a morphological passive marked on the lexical verb?,TRUE,FALSE,FALSE,L-PAS-2,L-PAS-1,,,include without modification,none,,,,,,NA
GB147,GB147c,"Is there a morphological passive marked on the lexical verb, if there is passive voice at all?",FALSE,TRUE,TRUE,L-PAS-2,S-PAS-1,S-PAS-1,isolating/affixing,recode group 5 (simple conditioning),if passive voice present,GB555m == 1,,,,,Grammar_other
